combo_msku,available_combo_stock,components_count,components,stocks_per_component
CSTE_0356_Wands_snape_Light_Sg,0,2,"['CSTE_0380_Wands_Snape_Light', 'CSTE_0319_SG_HarryPotter_Round']","[0, 0]"
Hermoine_light_SG,0,2,"['CSTE_0331_Wands_Hermoine_Light', 'CSTE_0319_SG_HarryPotter_Round']","[14, 0]"
Baby Swaddle_UPD_Pink_Combo,0,2,"['CSTE_0364_Swaddle_Unicorn_Print', 'CSTE_O0306_OT_UnicornPlantableDiary_Pink']","[0, 0]"
Baby Swaddle_UPD_Black_Combo,0,2,"['CSTE_0364_Swaddle_Unicorn_Print', 'CSTE_O0307_OT_UnicornPlantableDiary_Black']","[0, 0]"
ST-BTS-RJ-van-FBA,0,2,"['CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0006_ST_Bts_Pillow_Van']","[0, 0]"
ST-BTS-chimmy-cooky-koya-van-FBA,0,4,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0006_ST_Bts_Pillow_Van']","[0, 0, 0, 0]"
ST-BTS-koya-rj-shooky-van-FBA,0,4,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0006_ST_Bts_Pillow_Van']","[0, 0, 0, 0]"
ST-BTS-van-chimmy-cooky-koya-FBA,0,4,"['CSTE_0006_ST_Bts_Pillow_Van', 'CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0003_ST_Bts_Pillow_Koya']","[0, 0, 0, 0]"
ST-bts-throw-Army,0,8,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0002_ST_Bts_Pillow_Tata', 'CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0004_ST_Bts_Pillow_Mang', 'CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0006_ST_Bts_Pillow_Van', 'CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0008_ST_Bts_Pillow_Rj']","[0, 0, 0, 0, 0, 0, 0, 0]"
ST-BTS-rj-shooky-van-tata-FBA,0,4,"['CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0006_ST_Bts_Pillow_Van', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0, 0, 0]"
BTS-mang-RJ,0,2,"['CSTE_0004_ST_Bts_Pillow_Mang', 'CSTE_0008_ST_Bts_Pillow_Rj']","[0, 0]"
zombie_creeper,108,2,"['CSTE_0420_ST_MineCraft_Zombie', 'CSTE_0419_ST_MineCraft_Creeper']","[108, 250]"
Lama_Creeper_Combo,165,2,"['CSTE_0437_ST_Minecraft_Lama_Brown', 'CSTE_0419_ST_MineCraft_Creeper']","[165, 250]"
